Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"9.8800","97.9971","184.7353","143.2707","2.7207"
"9.9000","98.1971","184.9069","143.5631","2.7232"
"9.9200","98.3971","185.1119","143.8555","2.7262"
"9.9400","98.5971","185.2488","144.1479","2.7283"
"9.9600","98.7972","185.4054","144.4403","2.7306"
"9.9800","98.9972","185.5606","144.7327","2.7329"
"10.0000","99.1972","185.7589","145.0251","2.7358"
"10.0200","99.3972","185.8977","145.3175","2.7378"
"10.0400","99.5972","186.0395","145.6099","2.7399"
"10.0600","99.7972","186.3213","145.9023","2.7441"
"10.0800","99.9972","186.5308","146.1947","2.7471"
"10.0810","100.0072","186.5435","146.2093","2.7473"
