Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"2.2445","0.0003","458674688000.0000"
"2.2556","0.0003","459674777600.0000"
"2.2656","0.0003","460674816000.0000"
"2.2743","0.0003","461674854400.0000"
"2.2821","0.0003","462674892800.0000"
"2.2898","0.0003","463675033600.0000"
"2.2984","0.0003","464675123200.0000"
"2.3080","0.0003","465675161600.0000"
"2.3181","0.0003","466675353600.0000"
"2.3287","0.0003","467675392000.0000"
"2.3398","0.0003","468675635200.0000"
"2.3511","0.0003","469675673600.0000"
"2.3623","0.0003","470675865600.0000"
"2.3728","0.0003","471676108800.0000"
"2.3829","0.0003","472676300800.0000"
"2.3930","0.0003","473676441600.0000"
"2.4033","0.0003","474676582400.0000"
"2.4134","0.0003","475676774400.0000"
"2.4225","0.0003","476677017600.0000"
"2.4303","0.0003","477677107200.0000"
"2.4372","0.0003","478677299200.0000"
"2.4441","0.0003","479677388800.0000"
"2.4519","0.0003","480677529600.0000"
"2.4607","0.0003","481677619200.0000"
"2.4706","0.0003","482677708800.0000"
"2.4814","0.0003","483677798400.0000"
"2.4928","0.0003","484677836800.0000"
"2.5041","0.0003","485677824000.0000"
"2.5150","0.0003","486677913600.0000"
"2.5249","0.0003","487677952000.0000"
"2.5336","0.0003","488677939200.0000"
"2.5407","0.0003","489677977600.0000"
"2.5461","0.0003","490678016000.0000"
"2.5501","0.0003","491677952000.0000"
"2.5530","0.0003","492678041600.0000"
"2.5553","0.0003","493678080000.0000"
"2.5577","0.0003","494678016000.0000"
"2.5612","0.0003","495678054400.0000"
"2.5661","0.0003","496678092800.0000"
"2.5719","0.0003","497678080000.0000"
"2.5783","0.0003","498678016000.0000"
"2.5853","0.0003","499678054400.0000"
"2.5930","0.0003","500677990400.0000"
"2.6014","0.0003","501677926400.0000"
"2.6108","0.0003","502677811200.0000"
"2.6212","0.0003","503677747200.0000"
"2.6323","0.0003","504677632000.0000"
"2.6435","0.0003","505677516800.0000"
"2.6542","0.0003","506677350400.0000"
"2.6637","0.0003","507677235200.0000"
"2.6716","0.0003","508677068800.0000"
"2.6779","0.0003","509676851200.0000"
"2.6833","0.0003","510676684800.0000"
"2.6893","0.0003","511676569600.0000"
"2.6964","0.0003","512676352000.0000"
"2.7046","0.0003","513676185600.0000"
"2.7142","0.0003","514676019200.0000"
"2.7255","0.0003","515675852800.0000"
"2.7385","0.0003","516675737600.0000"
